x,swabID,surno,year,PITtag,Nruns,useCorrected,Zoospores,Site_name,date_collected,Julian,SVL,sex,Weight,water_temp
38,CBS033,1,2004,62599526,3,0,31.20117333,LittleIndianValley,7/2/04,38170,54,F,19.5,14.5
565,CBS548,4,2005,62599526,4,0,0,LittleIndianValley,7/15/05,38548,60.4,M,22,24.5
706,CBS648,5,2005,62599526,0,0,0,LittleIndianValley,9/17/05,38612,60.8,M,30,8.5
635,CBS584,4,2005,62607055,1,0,156.644,LittleIndianValley,7/30/05,38563,63.6,F,35,NA
677,CBS619,5,2005,62618284,0,0,0,LittleIndianValley,8/27/05,38591,74.9,F,52,NA
704,CBS646,5,2005,62618284,3,0,123.5922667,LittleIndianValley,9/17/05,38612,71.5,F,56,8
1174,CBS6161,8,2006,62618284,3,0,187.2664,LittleIndianValley,8/24/06,38953,72.4,F,54,NA
1473,CBS7101,11,2007,62618284,2,0,9.524648,LittleIndianValley,8/11/07,39305,75.1,F,48,17
1672,CBS7266,12,2007,62618284,1,0,176.9128,LittleIndianValley,9/29/07,39354,72.8,F,NA,NA
497,CBS426,3,2004,62618774,3,0,15.37570133,LittleIndianValley,10/9/04,38269,70.8,M,43.5,NA
541,CBS534,4,2005,62618774,4,0,0,LittleIndianValley,7/2/05,38535,64.7,M,31,NA
542,CBS535,4,2005,62618774,3,0,0,LittleIndianValley,7/2/05,38535,64.7,M,31,11
861,CBS793,6,2005,62618774,3,1,0.232909255,LittleIndianValley,10/7/05,38632,68.4,M,38,6
942,CBS6026,7,2006,62618774,3,0,30.42192,LittleIndianValley,7/2/06,38900,66.5,M,33,8
483,CBS412,3,2004,62621831,2,0,0,LittleIndianValley,10/9/04,38269,52.7,M,19,NA
705,CBS647,5,2005,62622275,3,0,5.297184,LittleIndianValley,9/17/05,38612,70.9,F,58,8
951,CBS6035,7,2006,62622275,3,0,12.24925333,LittleIndianValley,7/2/06,38900,74.1,F,42,14
995,CBS6051,7,2006,62622275,3,0,0,LittleIndianValley,7/28/06,38926,71.3,F,46,21
1094,CBS6151,8,2006,62622275,3,0,5.154261333,LittleIndianValley,8/23/06,38952,78,F,65,14
61,CBS056,1,2004,62631280,3,0,0,LittleIndianValley,7/3/04,38171,75.8,F,47,18
129,CBS105,1,2004,62631280,3,0,12.97685333,LittleIndianValley,7/16/04,38184,72.4,F,45,19.5
272,CBS231,2,2004,62631280,1,0,0,LittleIndianValley,8/14/04,38213,74.1,F,43,NA
498,CBS427,3,2004,62631280,3,0,0,LittleIndianValley,10/10/04,38270,73.3,F,44,7
126,CBS102,1,2004,62783092,3,0,6.497386667,LittleIndianValley,7/16/04,38184,54.4,F,14.5,20
166,CBS131,1,2004,62805591,1,0,0,LittleIndianValley,7/17/04,38185,NA,NA,NA,NA
19,CBS014,1,2004,62811029,3,0,2.618770667,LittleIndianValley,6/17/04,38155,51.4,F,15,15
155,CBS120,1,2004,62811029,3,0,0,LittleIndianValley,7/17/04,38185,55,F,23,NA
180,CBS145,1,2004,62811029,3,0,0,LittleIndianValley,7/30/04,38198,NA,F,22,NA
8,CBS003,1,2004,62833824,3,0,90.14888,LittleIndianValley,6/10/04,38148,53.3,M,18,15.5
20,CBS015,1,2004,62839114,3,0,36.58805333,LittleIndianValley,6/17/04,38155,50.7,F,15.5,16
270,CBS229,2,2004,62839114,3,0,8.867893333,LittleIndianValley,8/14/04,38213,55.2,F,NA,NA
65,CBS060,1,2004,62857881,3,0,0,LittleIndianValley,7/3/04,38171,58.8,M,30,21.5
868,CBS800,6,2005,92064354,1,0,0,LittleIndianValley,10/7/05,38632,63.9,M,37,6
855,CBS787,6,2005,92076578,1,0,104.2952,LittleIndianValley,10/7/05,38632,49,F,15,6
858,CBS790,6,2005,92080524,1,0,67.45752,LittleIndianValley,10/7/05,38632,69.5,M,42,6
867,CBS799,6,2005,92122068,1,0,29.57552,LittleIndianValley,10/7/05,38632,70.5,F,45,6
1468,CBS7093,10,2007,92261119,2,0,0.613,LittleIndianValley,7/6/07,39269,49.5,M,15,20.5
1493,CBS7121,11,2007,92261119,1,0,437.1296,LittleIndianValley,8/11/07,39305,54.9,M,17.5,18.5
859,CBS791,6,2005,92268293,1,0,34.3824,LittleIndianValley,10/7/05,38632,74.5,F,45,6
998,CBS6054,7,2006,92305631,1,0,18.198,LittleIndianValley,7/28/06,38926,54.1,M,21,20
865,CBS797,6,2005,92351023,1,0,148.2096,LittleIndianValley,10/7/05,38632,80.1,F,65,6
1931,CBS8211,14,2008,92351023,1,0,139.336,LittleIndianValley,8/24/08,39684,76.3,F,54,17.4
2004,CBS8284,15,2008,92351023,0,0,0,LittleIndianValley,9/14/08,39705,77.5,F,65,19
962,CBS6046,7,2006,92543530,1,0,0,LittleIndianValley,7/2/06,38900,72.4,F,47,14
863,CBS795,6,2005,92547126,1,0,0,LittleIndianValley,10/7/05,38632,71.8,F,45,6
856,CBS788,6,2005,92581519,1,0,0,LittleIndianValley,10/7/05,38632,48.5,F,13,6
1469,CBS7094,10,2007,92771862,2,0,0,LittleIndianValley,7/6/07,39269,55.7,F,21,NA
1036,CBS6093,7,2006,92780035,1,0,0,LittleIndianValley,7/30/06,38928,53.8,F,20.5,NA
1099,CBS6156,8,2006,92780035,1,0,70.95448,LittleIndianValley,8/23/06,38952,62.1,F,35,NA
1204,CBS6191,8,2006,92780035,1,0,179.9872,LittleIndianValley,8/24/06,38953,57.3,F,27,NA
1034,CBS6091,7,2006,92793836,1,0,42.83384,LittleIndianValley,7/29/06,38927,64,M,34,19
1098,CBS6155,8,2006,92793836,1,0,26.51784,LittleIndianValley,8/23/06,38952,63.3,M,35,18
1739,CBS8046,13,2008,92793836,1,0,147.304,LittleIndianValley,6/13/08,39612,62,M,NA,14
864,CBS796,6,2005,92795104,1,0,24.33024,LittleIndianValley,10/7/05,38632,68.8,M,40,6
943,CBS6027,7,2006,97831066,1,0,44.53264,LittleIndianValley,7/2/06,38900,62.3,M,32,11.5
1769,LGS8027,13,2008,97851374,1,0,2.944,LittleIndianValley,6/18/08,39617,60.8,NA,NA,14
1190,CBS6177,8,2006,97855362,1,0,123.256,LittleIndianValley,8/24/06,38953,49.2,M,15,NA
1945,CBS8225,14,2008,97855362,1,0,0,LittleIndianValley,8/24/08,39684,63.3,M,32,24
932,CBS6016,7,2006,97864324,1,0,120.4568,LittleIndianValley,7/1/06,38899,67.6,F,37,17
1939,CBS8219,14,2008,97869635,1,0,0.024,LittleIndianValley,8/24/08,39684,47.5,F,12.5,NA
1926,CBS8206,14,2008,98006377,1,0,0,LittleIndianValley,8/24/08,39684,77.1,F,65,17.4
1471,CBS7096,10,2007,98013797,2,0,4680.378,LittleIndianValley,7/6/07,39269,64.7,F,35,19
1188,CBS6175,8,2006,98051272,1,0,0,LittleIndianValley,8/24/06,38953,74,F,51,15.5
1475,CBS7103,11,2007,98051272,2,0,148.3368,LittleIndianValley,8/11/07,39305,76.1,F,55,17
1935,CBS8215,14,2008,98051272,1,0,0.256,LittleIndianValley,8/24/08,39684,78,NA,56.5,24
1773,CBS8053,13,2008,98052110,1,0,20.256,LittleIndianValley,7/7/08,39636,55.7,F,21.5,NA
934,CBS6018,7,2006,98371782,1,0,1976.624,LittleIndianValley,7/1/06,38899,59.1,M,23,18
1948,CBS8228,14,2008,98377785,1,0,0,LittleIndianValley,8/24/08,39684,49.8,NA,14,NA
2003,CBS8283,15,2008,98377785,1,0,10.712,LittleIndianValley,9/14/08,39705,52,F,15.5,18.6
935,CBS6019,7,2006,98380557,1,0,240.192,LittleIndianValley,7/1/06,38899,71.5,F,43,16.5
1192,CBS6179,8,2006,98382619,1,0,111.8648,LittleIndianValley,8/24/06,38953,50.5,M,16,18
1772,CBS8052,13,2008,98382619,1,0,401.312,LittleIndianValley,7/7/08,39636,61.4,M,26,22.5
1476,CBS7104,11,2007,98571818,2,0,0.1243324,LittleIndianValley,8/11/07,39305,56,M,21,19
1000,CBS6056,7,2006,98610350,1,0,1934.824,LittleIndianValley,7/29/06,38927,51.9,F,19,14.5
1472,CBS7100,11,2007,98776859,2,0,4.120696,LittleIndianValley,8/11/07,39305,73.2,F,49,15.5
1662,CBS7256,12,2007,98776859,1,0,27.79352,LittleIndianValley,9/29/07,39354,72.7,F,NA,12
1928,CBS8208,14,2008,98776859,1,0,0,LittleIndianValley,8/24/08,39684,76.5,F,53.5,17.4
2000,CBS8280,15,2008,98776859,1,0,0,LittleIndianValley,9/14/08,39705,73.4,F,65,21.9
937,CBS6021,7,2006,98828591,1,0,0,LittleIndianValley,7/1/06,38899,50.4,F,14.5,NA
1934,CBS8214,14,2008,98831844,1,0,0,LittleIndianValley,8/24/08,39684,67.5,NA,38.5,15.1
1771,CBS8050,13,2008,98833110,1,0,39.656,LittleIndianValley,7/7/08,39636,68.1,F,45,NA
2001,CBS8281,15,2008,98833110,1,0,0,LittleIndianValley,9/14/08,39705,77.3,F,55,22.8
1037,CBS6094,7,2006,98836769,1,0,0,LittleIndianValley,7/30/06,38928,49.4,F,13,NA
1480,CBS7108,11,2007,98837264,2,0,9.14448,LittleIndianValley,8/11/07,39305,50,M,19,15
1248,CBS6236,9,2006,61771310,3,0,14.11075733,MonoPass,9/22/06,38982,59,M,26.5,10.5
765,CBS707,5,2005,61780382,1,0,37.42624,MonoPass,9/25/05,38620,55.7,F,17,10
2028,MTS8019,15,2008,61780382,1,0,113.288,MonoPass,10/8/08,39729,61.8,F,25,9
222,CBS181,2,2004,61806090,1,1,0.290722785,MonoPass,8/8/04,38207,55.9,M,25,22
453,CBS382,3,2004,61826882,1,0,0,MonoPass,9/12/04,38242,52,M,21,NA
685,CBS627,5,2005,61829785,3,0,55.442,MonoPass,9/4/05,38599,62.5,M,29.5,NA
802,CBS734,6,2005,61829785,3,0,21.24282667,MonoPass,10/2/05,38627,57.5,M,31,8
1045,CBS6102,8,2006,61829785,3,0,18.49154667,MonoPass,8/20/06,38949,63.9,M,33,NA
1081,CBS6138,8,2006,61829785,3,0,90.63437333,MonoPass,8/21/06,38950,63.9,M,33,NA
1312,CBS6300,9,2006,61829785,3,0,643.8154667,MonoPass,9/22/06,38982,64,F,28,8.5
1541,CBS7169,11,2007,61829785,1,0,0,MonoPass,8/29/07,39323,63.4,F,NA,NA
1624,CBS7218,12,2007,61829785,1,0,73.35872,MonoPass,9/28/07,39353,67,F,NA,10
1747,LGS8005,13,2008,61829785,1,0,26.864,MonoPass,6/17/08,39616,59.8,F,NA,16
1804,CBS8084,13,2008,61829785,1,0,0,MonoPass,7/8/08,39637,61.2,M,28.5,20.5
2070,MTS8061,15,2008,61829785,1,0,10.608,MonoPass,10/8/08,39729,64.3,F,34,9
766,CBS708,5,2005,61834576,1,0,72.73576,MonoPass,9/25/05,38620,51.3,M,18,10
224,CBS183,2,2004,61836008,3,0,0.0683292,MonoPass,8/8/04,38207,52.8,M,15,19.5
697,CBS639,5,2005,61836008,3,0,27.06808,MonoPass,9/4/05,38599,58.1,M,18,NA
83,CBS078,1,2004,61838075,3,0,6.673090667,MonoPass,7/13/04,38181,63.6,F,29.5,23.5
