year,site,date,id,species,,,
2017,HOS,5/12/17,2822,PETR,,,
2017,HOS,5/12/17,2839,PETR,,,
2017,HOS,5/12/17,2846,NEFU,,,
2017,HOS,5/12/17,2849,NEFU,,,
2017,HOS,5/13/17,2826,NEFU,,,
2017,HOS,5/13/17,2827,PETR,,,
2017,HOS,5/13/17,2828,PETR,,,
2017,HOS,5/13/17,2829,NEFU,,,
2017,HOS,5/13/17,2830,PETR,,,
2017,HOS,5/13/17,2831,NEFU,,,
2017,HOS,5/13/17,2832,PETR,,,
2017,HOS,5/13/17,2833,NEFU,,,
2017,HOS,5/13/17,2834,PETR,,,
2017,HOS,5/13/17,2835,PETR,,,
2017,HOS,5/13/17,2836,NEFU,,,
2017,HOS,5/13/17,2837,PECA,,,
2017,HOS,5/13/17,2840,REME,,,
2017,HOS,5/13/17,2841,REME,,,
2017,TUP,5/21/17,2337,PEMA,,,
2017,TUP,5/21/17,2350,NEFU,,,
2017,TUP,5/21/17,2845,NEFU,,,
2017,TUP,5/21/17,2850,NEFU,,,
2017,TUP,5/21/17,2875,NEFU,,,
2017,TUP,5/21/17,2877,PEMA,,,
2017,TUP,5/21/17,2878,PEMA,,,
2017,TUP,5/21/17,2879,PEMA,,,
2017,TUP,5/21/17,2880,PEMA,,,
2017,TUP,5/21/17,2881,PEMA,,,
2017,TUP,5/21/17,2882,PEMA,,,
2017,TUP,5/21/17,2883,PEMA,,,
2017,TUP,5/21/17,2884,PEMA,,,
2017,TUP,5/21/17,2885,PEMA,,,
2017,TUP,5/21/17,2886,PEMA,,,
2017,TUP,5/21/17,2887,PEMA,,,
2017,TUP,5/21/17,2897,PEMA,,,
2017,TUP,5/21/17,2898,PEMA,,,
2017,TUP,5/21/17,2899,NEFU,,,
2017,TUP,5/21/17,3066,NEFU,,,
2017,TUP,5/21/17,3067,NEFU,,,
2017,TUP,5/21/17,S929,NEFU,,,
2017,TUP,5/22/17,2844,NEFU,,,
2017,TUP,5/22/17,2848,NEFU,,,
2017,TUP,5/22/17,2888,RANO,,,
2017,TUP,5/22/17,2889,NEFU,,,
2017,TUP,5/22/17,2890,NEFU,,,
2017,TUP,5/22/17,2891,NEFU,,,
2017,TUP,5/22/17,2892,PEMA,,,
2017,TUP,5/22/17,2893,PEMA,,,
2017,TUP,5/22/17,2894,PEMA,,,
2017,TUP,5/22/17,2895,PEMA,,,
2017,TUP,5/22/17,2896,PEMA,,,
2017,TUP,5/22/17,2901,PEMA,,,
2017,TUP,5/22/17,2902,PEMA,,,
